Metodo,Ruta,OperationId,Tags,TieneSecurity,Security,Summary
PUT,/nacha-config/perfiles/{id}/records/secuencia,,NachaConfigProfiles,Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update sequence dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/records/secuencia
PUT,/nacha-config/perfiles/{id}/variantes/{variantId},,NachaConfigProfiles,Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update variant dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/variantes/{variantId}
PUT,/nacha-config/perfiles/{id}/fields/{fieldId},,NachaConfigProfiles,Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update field dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/fields/{fieldId}
PUT,/nacha-config/perfiles/{id}/rules/{ruleId},,NachaConfigProfiles,Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update rule dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/rules/{ruleId}
POST,/nacha-config/resolver-preview,,NachaConfigProfiles,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de resolver preview dentro de operación NACHA-M para la ruta /nacha-config/resolver-preview
POST,/Nacha/header,,Nacha,No,None,Registro de operación NACHA-M: registra una solicitud de save header dentro de operación NACHA-M para la ruta /Nacha/header
GET,/NachaExport/{cycleId},,NachaExport,Sí,[{'Bearer': []}],Exportar archivo NACHA de un ciclo
GET,/NachaExport/{cycleId}/sobre-digital,,NachaExport,Sí,[{'Bearer': []}],Exportar NACHA con sobre digital
GET,/nacha-record-definitions,,NachaRecordDefinitions,Sí,[{'Bearer': []}],Consulta de operación NACHA-M: consulta get all dentro de operación NACHA-M para la ruta /nacha-record-definitions
POST,/nacha-record-definitions,,NachaRecordDefinitions,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de create dentro de operación NACHA-M para la ruta /nacha-record-definitions
GET,/nacha-record-definitions/{id},,NachaRecordDefinitions,Sí,[{'Bearer': []}],Consulta de operación NACHA-M: consulta get by id dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
PUT,/nacha-record-definitions/{id},,NachaRecordDefinitions,Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
DELETE,/nacha-record-definitions/{id},,NachaRecordDefinitions,Sí,[{'Bearer': []}],Eliminación de operación NACHA-M: elimina recursos asociados a delete dentro de operación NACHA-M para la ruta /nacha-record-definitions/{id}
GET,/nacha-layouts,,NachaRecordLayouts,Sí,[{'Bearer': []}],Consulta de operación NACHA-M: consulta get all dentro de operación NACHA-M para la ruta /nacha-layouts
POST,/nacha-layouts,,NachaRecordLayouts,Sí,[{'Bearer': []}],Registro de operación NACHA-M: registra una solicitud de create dentro de operación NACHA-M para la ruta /nacha-layouts
GET,/nacha-layouts/{id},,NachaRecordLayouts,Sí,[{'Bearer': []}],Consulta de operación NACHA-M: consulta get by id dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
PUT,/nacha-layouts/{id},,NachaRecordLayouts,Sí,[{'Bearer': []}],Actualización de operación NACHA-M: actualiza información de update dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
DELETE,/nacha-layouts/{id},,NachaRecordLayouts,Sí,[{'Bearer': []}],Eliminación de operación NACHA-M: elimina recursos asociados a delete dentro de operación NACHA-M para la ruta /nacha-layouts/{id}
POST,/nacha-security/operations/nacha/generate,,NachaSecurityOperations,Sí,[{'Bearer': []}],Generación de archivo NACHA plano
POST,/nacha-security/operations/nacha/generate-encrypted,,NachaSecurityOperations,Sí,[{'Bearer': []}],Generación de NACHA cifrado
POST,/nacha-security/operations/envelope/manual-encrypt,,NachaSecurityOperations,Sí,[{'Bearer': []}],Cifrado manual de archivo
POST,/nacha-security/operations/envelope/manual-decrypt,,NachaSecurityOperations,Sí,[{'Bearer': []}],Descifrado manual de sobre digital
